tags|dialogue_act
50###O to###O 100###B-value|inform
his###B-refer boo###I-refer|inform
whole###O of###O the###B-refer skatboard###I-refer|inform
hue###B-attribute|inform
no###O|negate
no###O|negate
skateboard###B-refer|inform
crap###O the###B-refer skatboard###I-refer|inform
yes###O|affirm
crap###O|inform
crap###O the###B-refer helmet###I-refer|inform
ues###O|affirm
no###O|negate
increase###B-action brightness###B-attribute|inform
80###B-value|inform
contrast###B-attribute|inform
yes###O|affirm
bag###B-refer|inform
the###B-refer bag###I-refer on###I-refer the###I-refer floor###I-refer|inform
the###B-refer luggage###I-refer|inform
background###B-refer|inform
the###B-refer luggage###I-refer|inform
yes###O|affirm
brighten###B-action image###B-refer|inform
no###O|negate
80###B-value|inform
floor###B-refer|inform
increase###B-action lightness###B-attribute|inform
luggage###B-refer|inform
wall###B-refer|inform
no###O|negate
the###B-refer desk###I-refer|inform
no###O|negate
the###B-refer computer###I-refer|inform
yes###O|affirm
no###O|negate
the###B-refer keyboard###I-refer|inform
no###O|negate
no###O|negate
the###B-refer screen###I-refer|inform
the###B-refer animal###I-refer|inform
lighten###B-action a###B-refer desktop###I-refer|inform
-70###B-value|inform
the###B-refer wall###I-refer|inform
no###O|negate
the###B-refer projector###I-refer|inform
the###B-refer cat###I-refer|inform
the###B-refer cup###I-refer|inform
brightness###B-attribute|inform
the###B-refer speaker###I-refer|inform
contrast###B-attribute|inform
a###B-refer cat###I-refer|inform
the###B-refer book###I-refer|inform
no###O|negate
yes###O|affirm
no###O|negate
-10###B-value|inform
no###O|negate
adjust###B-action the###O hue###B-attribute of###O the###B-refer man###I-refer|inform
contrast###B-attribute|inform
75###B-value|inform
lighten###B-action the###B-refer building###I-refer|inform
yes###O|affirm
50###B-value|inform
no###O|negate
no###O|negate
brighten###B-action the###B-refer man###I-refer|inform
can###O you###O lighten###B-action the###O hue###B-attribute|inform
yes###O|affirm
100###B-value|inform
brightness###B-attribute|inform
purse###B-refer|inform
the###B-refer window###I-refer|inform
no###O|negate
the###B-refer picture###I-refer on###I-refer the###I-refer right###I-refer left###I-refer wall###I-refer|inform
-100###B-value|inform
saturation###B-attribute|inform
no###O|negate
the###B-refer bed###I-refer|inform
flowers###B-refer|inform
the###B-refer bed###I-refer|inform
yes###O|affirm
yes###O|affirm
no###O|negate
the###B-refer picture###I-refer|inform
orange###B-refer|inform
the###B-refer orange###I-refer|inform
lime###B-refer|inform
yes###O|affirm
hue###B-attribute|inform
the###B-refer orange###I-refer|inform
no###O|negate
yes###O|affirm
no###O|negate
bottom###B-refer apple###I-refer|inform
the###B-refer tablecloth###I-refer|inform
no###O|negate
lime###B-refer|inform
the###B-refer lime###I-refer|inform
hue###B-attribute|inform
lime###B-refer|inform
+40###B-value|inform
no###O|negate
the###B-refer lime###I-refer on###I-refer the###I-refer left###I-refer|inform
-30###B-value|inform
no###O|negate
make###B-action the###B-refer picture###I-refer a###O bit###O darker###B-attribute .###O|inform
no###O|negate
no###O|negate
select###B-action the###B-refer computer###I-refer|inform
no###O|negate
no###O|negate
find###B-action the###B-refer black###I-refer cat###I-refer|inform
-25###B-value|inform
adjust###B-action the###O lightness###B-attribute|inform
yes###O|affirm
75###B-value|inform
no###O|negate
adjust###B-action white###B-refer to###O orange###O|inform
select###B-action the###B-refer mouse###I-refer|inform
yes###O|affirm
yes###O|affirm
select###B-action laptop###B-refer computer###I-refer|inform
select###B-action the###B-refer white###I-refer cat###I-refer again###O|inform
yes###O|affirm
yes###O|affirm
make###B-action the###B-refer white###I-refer cat###I-refer all###O orange###O|inform
adjust###B-action brightness###B-attribute|inform
the###B-refer brick###I-refer wall###I-refer 75###B-value percent###O saturation###B-attribute|inform
none###O|negate
no###O|negate
contrast###B-attribute 50###B-value percent###O|inform
curtains###B-refer 100###B-value percent###O saturation###B-attribute|inform
yes###O|affirm
the###B-refer brick###I-refer wall###I-refer|inform
finished###O|inform
lightness###B-attribute 25###B-value percent###O|inform
yes###O ,###O i###O adjusted###B-action the###B-refer sliders###I-refer .###O|affirm
lampshades###B-refer 80###B-value percent###O lightness###B-attribute|inform
armchair###B-refer 100###B-value percent###O lighness###B-attribute|inform
all###O|inform
no###O|negate
brightness###B-attribute|inform
contrast###B-attribute|inform
table###B-refer|inform
lampshades###B-refer|inform
yes###O|affirm
end###B-refer|inform
the###B-refer entire###I-refer picture###I-refer image###I-refer as###I-refer a###I-refer whole###I-refer|inform
no###O|negate
good###O|affirm
brightness###B-attribute 35###B-value percent###O|inform
okay###O ,###O whatever###O .###O you###O do###O n't###O understand###O|negate
yes###O|affirm
none###O|inform
oka###O|inform
no###O|negate
no###O ,###O the###B-refer entire###I-refer image###I-refer including###I-refer everything###I-refer in###I-refer the###I-refer image###I-refer .###O|negate
can###O you###O implement###B-action the###O adjustments###O i###O made###O ?###O|inform
no###O ,###O 95###B-value|negate
yes###O|affirm
no###O|negate
-80###B-value|inform
i###O need###O to###O change###B-action the###O brightness###B-attribute .###O|inform
woman###B-refer|inform
the###B-refer person###I-refer|inform
saturation###B-attribute|inform
the###B-refer cat###I-refer|inform
no###O|negate
thanks###O ,###O that###O 's###O it###O|affirm
yes###O|affirm
the###B-refer refrigerator###I-refer brightness###B-attribute .###O|inform
the###B-refer socks###I-refer|inform
contrast###B-attribute|inform
food###B-refer|inform
yes###O|affirm
the###B-refer food###I-refer|inform
50###B-value|inform
50###B-value|inform
brightness###B-attribute|inform
hue###B-attribute|inform
yes###O|affirm
make###B-action the###B-refer image###I-refer brighter###O|inform
50###B-value|inform
the###B-refer man###I-refer|inform
no###O|negate
the###B-refer baby###I-refer|inform
brightness###B-attribute|inform
40###B-value|inform
the###B-refer computer###I-refer screen###I-refer|inform
the###B-refer mouse###I-refer|inform
no###O|negate
yes###O|affirm
the###B-refer laptop###I-refer|inform
no###O|negate
no###O|negate
they###B-refer keyboard###I-refer|inform
i###O would###O like###O to###O change###B-action the###B-refer baby###I-refer|inform
no###O|negate
yes###O|affirm
the###B-refer phone###I-refer|inform
no###O|negate
the###B-refer phone###I-refer|inform
no###O|negate
no###O|negate
no###O|negate
hue###B-attribute|inform
they###B-refer keyboard###I-refer|inform
the###B-refer lamp###I-refer|inform
the###B-refer baby###I-refer|inform
the###B-refer baby###I-refer|inform
no###O|negate
the###B-refer computer###I-refer screen###I-refer|inform
the###B-refer blue###I-refer|inform
cable###B-refer|inform
no###O|negate
no###O|negate
no###O|negate
select###B-action keypad###B-refer|inform
select###B-action hotspot###B-refer|inform
yes###O|affirm
increase###B-action brightness###B-attribute by###O 10###B-value|inform
yes###O|affirm
select###B-action hotspot###B-refer|inform
no###O|negate
no###O|negate
select###B-action trackball###B-refer|inform
no###O|negate
no###O|negate
select###B-action remote###B-refer control###I-refer|inform
select###B-action orange###B-refer hotspot###I-refer|inform
lower###B-action brightness###B-attribute by###O 30###B-value|inform
no###O|negate
the###B-refer kitchen###I-refer|inform
contrast###B-attribute|inform
yes###O|affirm
darken###B-action sofa###B-refer|inform
no###O|negate
-15###B-value|inform
the###B-refer sofa###I-refer|inform
brightness###B-attribute|inform
yes###O|affirm
no###O|negate
yes###O|affirm
no###O|negate
brightness###B-attribute|inform
the###B-refer wheelchair###I-refer|inform
the###B-refer dog###I-refer|inform
done###O|inform
the###B-refer woman###I-refer|inform
25###B-value|inform
lightness###B-attribute|inform
the###B-refer dog###I-refer|inform
the###B-refer wheelchair###I-refer|inform
the###B-refer dogs###I-refer|inform
-30###B-value|inform
yes###O|affirm
no###O|negate
no###O|negate
the###B-refer dogs###I-refer|inform
yes###O|affirm
the###B-refer dogs###I-refer|inform
no###O|negate
darken###B-action table###B-refer|inform
yes###O|affirm
yes###O|affirm
no###O|negate
-20###B-value|inform
no###O|negate
the###B-refer cat###I-refer|inform
yes###O|affirm
brightness###B-attribute|inform
make###B-action the###B-refer book###I-refer case###I-refer darker###O|inform
no###O|negate
the###B-refer eyes###I-refer on###I-refer the###I-refer cat###I-refer|inform
50###B-value|inform
yes###O|affirm
no###O|negate
the###B-refer cat###I-refer -50###B-value|inform
tone###B-action down###I-action the###O brightness###B-attribute of###O the###B-refer cat###I-refer 's###I-refer eyes###I-refer|inform
yes###O|affirm
make###B-action the###B-refer statue###I-refer lighter###O|inform
no###O|negate
no###O|negate
25###B-value ,###O please###O|inform
adjust###B-action the###O hue###B-attribute|inform
undo###B-action the###O edit###O .###O|inform
50###B-value|inform
yes###O|affirm
target###B-action the###B-refer motorcycle###I-refer|inform
can###O you###O undo###B-action that###O last###O edit###O ?###O|inform
yes###O|affirm
adjust###B-action the###B-refer motorcycle###I-refer|inform
yes###O|affirm
brightness###B-attribute|inform
nope###O|negate
make###B-action the###B-refer man###I-refer on###I-refer the###I-refer motorcycle###I-refer brighter###O .###O|inform
make###B-action the###B-refer picture###I-refer brighter###O|inform
make###B-action the###B-refer cow###I-refer brighter###O|inform
select###B-action a###B-refer cow###I-refer|inform
no###O|negate
house###B-refer|inform
10###B-value|inform
yes###O|affirm
no###O|negate
yes###O|affirm
brightness###B-attribute|inform
no###O|negate
raise###B-action the###O saturation###B-attribute of###O the###B-refer cow###I-refer|inform
15###B-value|inform
select###B-action the###B-refer house###I-refer|inform
cow###B-refer|inform
make###B-action the###B-refer brown###I-refer cow###I-refer brighter###O|inform
school###B-refer bus###I-refer|inform
yes###O|affirm
find###B-action the###B-refer school###I-refer buses###I-refer|inform
no###O|negate
find###B-action license###B-refer plate###I-refer|inform
incrase###B-action the###O brightness###B-attribute to###O 10###B-value|inform
find###B-action trees###B-refer|inform
yes###O|affirm
increase###B-action school###B-refer bus###I-refer saturation###B-attribute to###O 10###B-value|inform
no###O|negate
find###B-action window###B-refer|inform
increase###B-action the###O brightness###B-attribute of###O the###B-refer school###I-refer buses###I-refer|inform
yes###O|affirm
increase###B-action saturation###B-attribute to###O 10###B-value|inform
no###O|negate
no###O|negate
backgroundd###B-refer|inform
brightness###B-attribute|inform
background###B-refer|inform
crop###B-action animal###B-refer|inform
crop###B-action grass###B-refer|inform
crop###B-action cage###B-refer|inform
no###O|negate
0###B-value|inform
no###O|negate
crop###B-action animal###B-refer|inform
animal###B-refer|inform
grass###B-refer|inform
yes###O|affirm
sheep###B-refer|inform
brightness###B-attribute|inform
50###B-value|inform
yes###O|affirm
truck###B-refer|inform
-70###B-value|inform
license###B-refer plate###I-refer|inform
tree###B-refer|inform
the###B-refer vehicle###I-refer|inform
yes###O|affirm
contrast###B-attribute|inform
headlight###B-refer|inform
-10###B-value|inform
saturation###B-attribute|inform
van###B-refer|inform
yes###O|affirm
no###O|negate
yes###O|affirm
adjust###B-action the###B-refer sky###I-refer|inform
the###B-refer air###I-refer balloons###I-refer|inform
no###O|negate
-11###B-value|inform
brightness###B-attribute -11###B-value|inform
the###B-refer sky###I-refer|inform
yes###O|affirm
no###O|negate
the###B-refer mountain###I-refer|inform
hue###B-attribute|inform
can###O you###O make###B-action the###O brightness###B-attribute higher###O ?###O|inform
air###B-refer balloon###I-refer|inform
yes###O|affirm
yes###O|affirm
no###O|negate
man###B-refer|inform
no###O|negate
yes###O|affirm
hand###B-refer|inform
tie###B-refer|inform
man###B-refer|inform
child###B-refer|inform
10###B-value|inform
hue###B-attribute|inform
yes###O|affirm
no###O|negate
hue###B-attribute|inform
woman###B-refer|inform
-10###B-value|inform
tie###B-refer|inform
hair###B-refer|inform
kid###B-refer|inform
man###B-refer|inform
pants###B-refer|inform
tie###B-refer|inform
yes###O|affirm
glasses###B-refer|inform
0###B-value|inform
house###B-refer|inform
hue###B-attribute|inform
bill###B-refer clinton###I-refer|inform
remove###B-action the###O darkness###B-attribute from###O the###B-refer corners###I-refer|inform
brighten###B-action the###O contrast###B-attribute|inform
brighten###B-action the###B-refer other###I-refer zebra###I-refer|inform
yes###O|affirm
no###O|negate
brightness###B-attribute the###B-refer picture###I-refer|inform
no###O|negate
no###O|negate
50###B-value|inform
yes###O|affirm
brighten###B-action the###B-refer zebras###I-refer|inform
50###B-value|inform
-25###B-value|inform
brightness###B-attribute|inform
darken###B-action the###B-refer buses###I-refer|inform
select###B-action the###B-refer other###I-refer bus###I-refer|inform
the###B-refer water###I-refer|inform
grass###B-refer|inform
no###O|negate
yes###O|affirm
-20###B-value|inform
select###B-action the###B-refer building###I-refer|inform
brightness###B-attribute|inform
yes###O|affirm
select###B-action the###B-refer third###I-refer bus###I-refer|inform
-75###B-value|inform
0###B-value|inform
i###O can###O adjust###B-action brightness###B-attribute|inform
yes###O|affirm
yes###O|affirm
yes###O|affirm
i###O can###O adjust###B-action the###B-refer men###I-refer|inform
75###B-value|inform
yes###O|affirm
i###O can###O adjust###B-action lightness###B-attribute|inform
yes###O|affirm
yes###O|affirm
the###B-refer women###I-refer|inform
what###O about###O survey###O|inform
yes###O|affirm
yes###O i###O can###O adjust###B-action|affirm
0###B-value|inform
yes###O|affirm
yes###O|affirm
yes###O|affirm
yes###O i###O can###O adjust###B-action|affirm
i###O can###O adjust###B-action contrast###B-attribute|inform
i###O can###O adjust###B-action brightness###B-attribute|inform
yes###O|affirm
the###B-refer man###I-refer|inform
yes###O|affirm
the###B-refer man###I-refer|inform
yes###O|affirm
hue###B-attribute 20###B-value|inform
a###B-refer man###I-refer in###I-refer a###I-refer hoodie###I-refer eating###I-refer while###I-refer holding###I-refer a###I-refer cellphone###I-refer|inform
10###B-value|inform
hue###B-attribute -20###B-value|inform
yes###O|affirm
the###B-refer man###I-refer hue###B-attribute 15###B-value|inform
yes###O|affirm
saturation###B-attribute 10###B-value|inform
5###B-value|inform
hue###B-attribute 15###B-value|inform
yes###O|affirm
brightness###B-attribute|inform
lightness###B-attribute 5###B-value|inform
the###B-refer man###I-refer|inform
the###B-refer white###I-refer bear###I-refer|inform
no###O|negate
bears###B-refer by###I-refer wall###I-refer|inform
75###B-value|inform
no###O|negate
yes###O|affirm
adjust###B-action lightness###B-attribute|inform
no###O|negate
the###B-refer teddy###I-refer bears###I-refer|inform
yes###O|affirm
the###B-refer teddy###I-refer bear###I-refer|inform
the###B-refer wall###I-refer|inform
80###B-value|inform
the###B-refer wall###I-refer bears###I-refer|inform
adjust###B-action contrast###B-attribute down###O|inform
make###B-action the###B-refer peaches###I-refer lighter###O|inform
no###O|negate
increase###B-action brightness###B-attribute by###O 4###B-value|inform
select###B-action the###B-refer bowl###I-refer|inform
saturation###B-attribute|inform
yes###O|affirm
select###B-action entire###B-refer image###I-refer|inform
40###B-value|inform
-70###B-value|inform
the###B-refer peach###I-refer|inform
yes###O|affirm
yes###O|affirm
contrast###B-attribute|inform
50###B-value|inform
no###O|negate
yes###O|affirm
thats###O all###O .###O thank###O you###O .###O|affirm
40###B-value|inform
brightness###B-attribute|inform
no###O|negate
yes###O|affirm
house###B-refer or###I-refer barn###I-refer|inform
make###B-action the###B-refer barn###I-refer darker###O|inform
adjust###B-action saturation###B-attribute of###O bigger###B-refer cow###I-refer|inform
hi###O make###B-action the###B-refer cows###I-refer brighter###O|inform
pizza###B-refer|inform
pepperoni###B-refer|inform
okay###O|affirm
70###B-value|inform
50###B-value|inform
hi###O there###O|inform
the###B-refer pizza###I-refer on###I-refer the###I-refer plate###I-refer|inform
contrast###B-attribute|inform
yes###O|affirm
yes###O|affirm
crust###B-refer|inform
brightness###B-attribute|inform
okay###O|affirm
no###O|negate
turn###B-action lightness###B-attribute to###O 10###B-value %###O on###O the###B-refer baseball###I-refer|inform
no###O|negate
the###B-refer baseball###I-refer|inform
yes###O|affirm
the###B-refer baseball###I-refer mitt###I-refer|inform
turn###B-action brightness###B-attribute to###O 90###B-value %###O|inform
yes###O|affirm
turn###B-action hue###B-attribute to###O 25###B-value %###O on###O the###B-refer glove###I-refer|inform
the###B-refer glove###I-refer|inform
the###B-refer mitt###I-refer|inform
no###O|negate
no###O|negate
contrast###B-attribute|inform
the###B-refer banana###I-refer|inform
no###O ,###O it###O is###O yellow###O|negate
no###O|negate
yes###O|affirm
banana###B-refer|inform
the###B-refer banana###I-refer|inform
yes###O|affirm
70###B-value|inform
yes###O|affirm
the###B-refer banana###I-refer|inform
edit###B-action banana###B-refer|inform
i###O would###O like###O to###O brighten###B-action the###B-refer plate###I-refer|inform
brightness###B-attribute|inform
banana###B-refer|inform
-30###B-value|inform
the###B-refer plate###I-refer|inform
no###O|negate
brightness###B-attribute|inform
i###O would###O like###O to###O edit###B-action the###B-refer image###I-refer|inform
45###B-value|inform
tree###B-refer|inform
giraffe###B-refer|inform
20###B-value|inform
35###B-value|inform
yes###O|affirm
what###O animal###B-refer in###O the###O image###O|inform
animal###B-refer|inform
contrast###B-attribute|inform
yes###O|affirm
brighter###O|inform
brighter###O|inform
tree###B-refer in###O the###O image###O|inform
brightness###B-attribute|inform
animal###B-refer|inform
edit###B-action the###B-refer man###I-refer on###I-refer the###I-refer bottom###I-refer|inform
people###B-refer on###I-refer a###I-refer beach###I-refer|inform
-25###B-value|inform
brightness###B-attribute|inform
yes###O|affirm
the###B-refer top###I-refer image###I-refer|inform
no###O|negate
top###B-refer imange###I-refer man###I-refer wearing###I-refer white###I-refer|inform
no###O the###B-refer brown###I-refer backgrown###I-refer|negate
edit###B-action green###B-refer man###I-refer|inform
no###O|negate
yes###O|affirm
edit###B-action brown###B-refer image###I-refer|inform
a###B-refer man###I-refer|inform
edit###B-action surfboard###B-refer|inform
saturation###B-attribute|inform
no###O|negate
girl###B-refer|inform
25###B-value|inform
woman###B-refer|inform
surfboard###B-refer|inform
no###O|negate
edit###B-action bottom###B-refer image###I-refer|inform
no###O|negate
make###B-action the###B-refer spoon###I-refer less###O blurry###O|inform
can###O you###O make###B-action the###B-refer picture###I-refer less###O blurry###O ?###O|inform
yes###O|affirm
65###B-value|inform
65###B-value|inform
yes###O|affirm
yes###O|affirm
no###O|negate
yes###O|affirm
contrast###B-attribute|inform
saturation###B-attribute|inform
the###B-refer boy###I-refer|inform
chair###B-refer|inform
hue###B-attribute|inform
yes###O|affirm
no###O|negate
the###B-refer tv###I-refer|inform
rug###B-refer|inform
no###O|negate
10###B-value|inform
the###B-refer rug###I-refer|inform
coffee###B-refer mug###I-refer|inform
no###O|negate
-50###B-value|inform
no###O|negate
the###B-refer table###I-refer|inform
yes###O|affirm
no###O|negate
the###B-refer pillow###I-refer|inform
pillow###B-refer|inform
bowl###B-refer|inform
brightness###B-attribute|inform
yes###O|affirm
no###O|negate
yes###O|affirm
60###B-value|inform
hello###O|inform
change###B-action the###O saturation###B-attribute of###O the###B-refer man###I-refer|inform
change###B-action the###O lightness###B-attribute of###O the###B-refer wine###I-refer glass###I-refer|inform
20###B-value|inform
yes###O|affirm
no###O|negate
change###B-action the###O contrast###B-attribute of###O the###B-refer wine###I-refer glass###I-refer|inform
adjust###B-action the###O lightness###B-attribute of###O the###B-refer wineglass###I-refer|inform
yes###O|affirm
adjust###B-action the###O brightness###B-attribute of###O the###B-refer man###I-refer|inform
30###B-value|inform
50###B-value|inform
adjust###B-action the###O brightness###B-attribute of###O the###B-refer plate###I-refer|inform
yes###O|affirm
edit###B-action the###B-refer black###I-refer bag###I-refer .###O|inform
no###O|negate
30###B-value|inform
edit###B-action the###B-refer black###I-refer luggage=###I-refer .###O|inform
edit###B-action the###B-refer wall###I-refer|inform
yes###O|affirm
contrast###B-attribute|inform
great###O .###O|affirm
edit###B-action the###B-refer suitcases###I-refer .###O|inform
no###O|negate
hi###O ,###O can###O we###O edit###B-action this###B-refer photo###I-refer ?###O|inform
-50###B-value|inform
adjust###B-action the###O contrast###B-attribute down###O .###O|inform
edit###B-action the###B-refer suitcase###I-refer|inform
can###O we###O edit###B-action the###B-refer black###I-refer luggage###I-refer .###O|inform
ok###O ,###O edit###B-action suitcases###B-refer .###O|inform
no###O|negate
bottle###B-refer|inform
saturation###B-attribute|inform
25###B-value|inform
great###O|affirm
yes###O|affirm
white###B-refer vase###I-refer|inform
great###O job###O .###O|affirm
i###O need###O to###O edit###B-action this###B-refer photo###I-refer|inform
-5###B-value|inform
no###O|negate
background###B-refer|inform
the###B-refer vase###I-refer|inform
yes###O|affirm
vase###B-refer|inform
lightness###B-attribute|inform
man###B-refer|inform
35###B-value|inform
no###O|negate
i###O want###O to###O brighten###B-action the###B-refer motorcycle###I-refer .###O|inform
-25###B-value|inform
hue###B-attribute|inform
yes###O|affirm
yes###O|affirm
brightness###B-attribute|inform
man###B-refer|inform
brightness###B-attribute|inform
can###O you###O spot###B-action the###B-refer black###I-refer fire###I-refer hydrant###I-refer in###O the###O picture###O ?###O|inform
hue###B-attribute 50###B-value|inform
let###O 's###O brighten###B-action it###B-refer up###O a###O little###O|inform
the###B-refer yellow###I-refer hydrant###I-refer|inform
okay###O .###O now###O how###O about###O that###O yellow###B-refer fire###I-refer hydrant###I-refer ?###O|affirm
yes###O|affirm
yes###O|affirm
2###B-value|inform
yes###O|affirm
fire###B-refer|inform
image###O|inform
